Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2125766.856090,721915.340919,200000.000000,9.387231
1,2125766.856090,1195279.390730,200000.000000,9.387232
2,2125766.856090,1499354.369788,433138.210809,9.387232
3,2126007.883313,1725704.234372,976381.005637,9.387232
4,2126522.825717,1824634.586298,1237142.484097,9.387232
5,2126755.486894,1972300.353385,1715325.046080,9.387232
6,2126755.486894,2014197.866885,1873190.860950,9.387232
7,2126755.486894,2016026.148864,1777417.481830,9.387232
8,2126755.486894,2018387.124003,1825481.430390,9.387232
9,2126871.169422,2052176.139821,1953301.384392,9.387234
10,2127277.429564,2055674.514543,1949127.278768,9.387234
