Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2775216.675876,2541119.046600,2221598.993420,39.052913
1,2775216.675876,2581784.055845,2341173.336185,39.052913
2,2775216.675876,2637763.916696,2467836.837388,39.052913
3,2775400.290499,2668445.426722,2512934.979334,39.052913
4,2781698.198200,2715951.032665,2595078.918477,39.052913
5,2781698.198200,2750858.324540,2643204.034679,39.052913
6,2783177.651059,2760931.419240,2700866.147137,39.052913
7,2786337.022929,2767419.558158,2681965.547097,39.052913
8,2787312.956260,2771282.454877,2725581.761226,39.052913
9,2787695.853548,2769493.318084,2675223.600147,39.052914
10,2788137.704048,2776562.978995,2756564.682490,39.052914
11,2788835.232739,2777194.615749,2691787.046391,39.052914
12,2790925.356773,2779344.926142,2719486.935134,39.052914
13,2795313.520526,2776642.565612,2711913.236015,39.052914
14,2795313.520526,2777752.859349,2740232.604444,39.052914
15,2797080.144582,2778337.402178,2724536.004002,39.052914
16,2797080.144582,2781708.235737,2757151.074740,39.052914
17,2797080.144582,2785040.787442,2748190.571085,39.052918
18,2797268.814735,2784337.914003,2755577.276113,39.052918
19,2797268.814735,2783912.681954,2738619.263317,39.052918
20,2797446.289927,2779191.015281,2671894.434153,39.052918
21,2800945.727659,2781936.734658,2733791.387746,39.052918
22,2801303.983257,2787465.696692,2730861.999626,39.052918
23,2802180.101418,2790349.733279,2768311.360736,39.052918
24,2802533.077322,2789457.892948,2753136.170258,39.052918
25,2802533.077322,2787474.865807,2725195.009288,39.052918
26,2802533.077322,2790679.174105,2765621.536134,39.052918
27,2802533.077322,2789201.376013,2731367.329445,39.052918
28,2802533.077322,2788699.521996,2748054.682223,39.052918
29,2803373.341253,2787571.051984,2767328.302570,39.052918
30,2803373.341253,2792769.789011,2746297.639332,39.052919
31,2803373.341253,2791369.519716,2751387.323805,39.052919
