Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2282531.194780,2148478.517469,1853561.782826,18.510182
1,2288796.966879,2183573.996196,2039655.190913,18.510183
2,2288796.966879,2211276.699014,2119233.238888,18.510183
3,2290052.472794,2238919.919260,2134382.653207,18.510183
4,2295268.071283,2255163.925049,2179576.648012,18.510183
5,2295268.071283,2277875.761661,2246755.120515,18.510183
6,2295300.005429,2283481.431056,2252450.862418,18.510183
7,2298580.857793,2287634.786909,2257673.362389,18.510183
8,2300526.148955,2286953.542909,2222811.078330,18.510183
9,2300526.148955,2282040.431187,2166092.661926,18.510183
10,2300611.936608,2288483.978228,2251778.100667,18.510183
11,2300810.613305,2289351.103971,2195863.115353,18.510183
12,2301455.605574,2292902.267179,2249987.448459,18.510183
13,2301736.092664,2289402.246296,2197067.626238,18.510183
14,2301807.094505,2294806.878124,2245538.848520,18.510183
15,2303827.084288,2293910.571013,2241202.732618,18.510183
16,2303827.084288,2294110.703144,2254540.948106,18.510183
17,2303920.060567,2294062.530170,2258639.871866,18.510192
