Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2321486.302463,2174460.893296,1764139.876278,20.778127
1,2333853.496603,2203319.369342,2073261.013538,20.778127
2,2334739.647774,2256240.773863,2120230.891287,20.778127
3,2334739.647774,2265792.062228,2198662.249256,20.778127
4,2335587.696838,2281339.141465,2212584.037205,20.778127
5,2343650.102173,2294454.752399,2211550.206021,20.778127
6,2369819.003594,2306285.424926,2246763.899225,20.778127
7,2376575.150287,2315379.261804,2279618.314398,20.778127
8,2376575.150287,2334265.932783,2234688.249337,20.778127
9,2376575.150287,2340980.383710,2317358.358234,20.778127
10,2380419.436906,2351917.357439,2297332.602541,20.778128
11,2390514.695446,2357441.306348,2328356.166045,20.778128
12,2401065.723501,2370824.792342,2296169.738197,20.778128
13,2418021.715275,2374286.714135,2269129.587238,20.778128
14,2418021.715275,2370326.405830,2315550.551047,20.778128
15,2418021.715275,2377858.575888,2314707.931334,20.778128
16,2419482.610725,2391626.777614,2339808.293286,20.778128
17,2424173.605159,2398557.044086,2354376.897848,20.778130
18,2427968.605085,2402468.768048,2363189.075460,20.778130
19,2428354.469065,2403979.056832,2329271.918990,20.778130
20,2428354.469065,2407330.492044,2378490.204404,20.778130
21,2430890.089868,2407892.746003,2346724.520947,20.778130
22,2430890.089868,2406565.928439,2382609.183303,20.778130
23,2430890.089868,2415635.695430,2355972.591709,20.778130
24,2431531.106445,2418926.661463,2392496.331732,20.778130
25,2432569.002671,2422603.422483,2388251.505535,20.778130
26,2432569.002671,2419590.694352,2370369.217716,20.778130
27,2432569.002671,2418299.987253,2376376.451323,20.778130
28,2432569.002671,2421547.153074,2354102.458019,20.778130
29,2433569.539463,2424606.128573,2406152.843962,20.778130
30,2433569.539463,2421465.968610,2384333.872054,20.778130
31,2433631.675326,2415520.387542,2346355.128750,20.778130
