Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2298430.632094,2225385.252182,2125766.856090,12.600327
1,2298430.632094,2234476.820955,2166286.392454,12.600327
2,2300042.490621,2250593.343228,2193074.466139,12.600327
3,2318824.417400,2268315.187848,2220238.938113,12.600327
4,2318824.417400,2281038.623712,2241451.627874,12.600327
5,2318824.417400,2289183.532152,2237462.127651,12.600327
6,2322637.396148,2291648.258069,2232246.580961,12.600327
7,2322637.396148,2286261.334200,2252920.476696,12.600327
8,2322906.897787,2287061.922828,2242175.355049,12.600327
9,2322976.519861,2296378.810212,2251541.396292,12.600327
10,2329789.790624,2304431.312697,2267306.247143,12.600327
11,2329789.790624,2314336.901764,2269511.656650,12.600328
12,2337662.678417,2317735.381032,2283484.535711,12.600328
13,2337808.461677,2318995.099414,2270223.723095,12.600328
14,2338046.298468,2320836.706394,2284053.769677,12.600328
15,2339181.036227,2326453.388463,2304648.022338,12.600328
16,2339585.030600,2331679.964623,2315370.111029,12.600328
17,2340030.403549,2334579.755579,2324261.101274,12.600336
18,2341200.430963,2336323.714172,2314780.637067,12.600336
19,2341911.163778,2335165.562540,2287178.940314,12.600336
20,2342419.316206,2331401.484937,2290783.402849,12.600336
21,2342419.316206,2332244.890927,2272496.737180,12.600336
22,2342419.316206,2334279.923669,2301087.049613,12.600336
