Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2208998.186288,2145824.759589,2086786.173609,10.975885
1,2214824.745865,2169993.141149,2104759.977242,10.975885
2,2214824.745865,2186690.364248,2109765.728034,10.975885
3,2214824.745865,2190681.785121,2159430.081297,10.975885
4,2217924.966917,2200359.348342,2166560.644908,10.975885
5,2219827.070581,2202283.866011,2161802.464626,10.975885
6,2230171.735848,2207156.460160,2181192.124866,10.975885
7,2230171.735848,2208003.479198,2188742.102572,10.975885
8,2233268.471900,2209781.567219,2160523.229344,10.975885
9,2233268.471900,2214255.159545,2173796.324841,10.975885
10,2233268.471900,2213046.237577,2177079.390932,10.975886
11,2233268.471900,2218443.213975,2181324.796860,10.975886
12,2234403.242523,2222109.717544,2189985.527505,10.975886
13,2234403.242523,2220061.336928,2184382.111722,10.975886
14,2234403.242523,2220937.728589,2199549.283364,10.975886
15,2234403.242523,2222144.823953,2190986.051643,10.975886
16,2234567.044168,2219278.358841,2182605.330159,10.975886
17,2234567.044168,2219451.048495,2197812.950669,10.975894
18,2234567.044168,2219301.147369,2188101.472090,10.975894
